employee_id,age,age_cohort,gender,marital_status,department,job_role,job_level,education,education_label,education_field,monthly_income,income_bracket,daily_rate,hourly_rate,monthly_rate,percent_salary_hike,stock_option_level,overtime,overtime_flag,business_travel,distance_from_home,distance_band,job_satisfaction,job_satisfaction_label,environment_satisfaction,environment_satisfaction_label,relationship_satisfaction,relationship_satisfaction_label,work_life_balance,work_life_balance_label,job_involvement,performance_rating,performance_label,total_working_years,years_at_company,tenure_band,years_in_current_role,years_since_last_promotion,years_with_curr_manager,training_times_last_year,num_companies_worked,attrition,attrition_flag
15,29,Under 30,Female,Single,Research & Development,Laboratory Technician,2,2,2 - College,Life Sciences,4193,"Mid ($3,500 - $7,000)",153,49,12682,12,0,Yes,1,Travel_Rarely,15,Moderate (6-15 mi),3,3 - High,4,4 - Very High,4,4 - Very High,3,3 - Better,2,3,3 - Excellent,10,9,6-10 Years,5,0,8,3,0,No,0
16,31,30-39,Male,Divorced,Research & Development,Research Scientist,1,1,1 - Below College,Life Sciences,2911,"Low (<$3,500)",670,31,15170,17,1,No,0,Travel_Rarely,26,Very Far (26+ mi),3,3 - High,1,1 - Low,4,4 - Very High,2,2 - Good,3,3,3 - Excellent,5,5,3-5 Years,2,4,3,1,1,No,0
18,34,30-39,Male,Divorced,Research & Development,Laboratory Technician,1,2,2 - College,Medical,2661,"Low (<$3,500)",1346,93,8758,11,1,No,0,Travel_Rarely,19,Far (16-25 mi),4,4 - Very High,2,2 - Medium,3,3 - High,3,3 - Better,3,3,3 - Excellent,3,2,1-2 Years,2,1,2,2,0,No,0
19,28,Under 30,Male,Single,Research & Development,Laboratory Technician,1,3,3 - Bachelor,Life Sciences,2028,"Low (<$3,500)",103,50,12947,14,0,Yes,1,Travel_Rarely,24,Far (16-25 mi),3,3 - High,3,3 - High,2,2 - Medium,3,3 - Better,2,3,3 - Excellent,6,4,3-5 Years,2,0,3,4,5,Yes,1
20,29,Under 30,Female,Divorced,Research & Development,Manufacturing Director,3,4,4 - Master,Life Sciences,9980,"High ($7,001 - $12,000)",1389,51,10195,11,1,No,0,Travel_Rarely,21,Far (16-25 mi),1,1 - Low,2,2 - Medium,3,3 - High,3,3 - Better,4,3,3 - Excellent,10,10,6-10 Years,9,8,8,1,1,No,0
21,32,30-39,Male,Divorced,Research & Development,Research Scientist,1,2,2 - College,Life Sciences,3298,"Low (<$3,500)",334,80,15053,12,2,Yes,1,Travel_Rarely,5,Near (1-5 mi),2,2 - Medium,1,1 - Low,4,4 - Very High,2,2 - Good,4,3,3 - Excellent,7,6,6-10 Years,2,0,5,5,0,No,0
22,22,Under 30,Male,Divorced,Research & Development,Laboratory Technician,1,2,2 - College,Medical,2935,"Low (<$3,500)",1123,96,7324,13,2,Yes,1,Non-Travel,16,Far (16-25 mi),4,4 - Very High,4,4 - Very High,2,2 - Medium,2,2 - Good,4,3,3 - Excellent,1,1,1-2 Years,0,0,0,2,1,No,0
23,53,50+,Female,Married,Sales,Manager,4,4,4 - Master,Life Sciences,15427,"Executive (>$12,000)",1219,78,22021,16,0,No,0,Travel_Rarely,2,Near (1-5 mi),4,4 - Very High,1,1 - Low,3,3 - High,3,3 - Better,2,3,3 - Excellent,31,25,10+ Years,8,3,7,3,2,No,0
24,38,30-39,Male,Single,Research & Development,Research Scientist,1,3,3 - Bachelor,Life Sciences,3944,"Mid ($3,500 - $7,000)",371,45,4306,11,0,Yes,1,Travel_Rarely,2,Near (1-5 mi),4,4 - Very High,4,4 - Very High,3,3 - High,3,3 - Better,3,3,3 - Excellent,6,3,3-5 Years,2,1,2,3,5,No,0
26,24,Under 30,Female,Divorced,Research & Development,Manufacturing Director,2,2,2 - College,Other,4011,"Mid ($3,500 - $7,000)",673,96,8232,18,1,No,0,Non-Travel,11,Moderate (6-15 mi),3,3 - High,1,1 - Low,4,4 - Very High,2,2 - Good,4,3,3 - Excellent,5,4,3-5 Years,2,1,3,5,0,No,0
27,36,30-39,Male,Single,Sales,Sales Representative,1,4,4 - Master,Life Sciences,3407,"Low (<$3,500)",1218,82,6986,23,0,No,0,Travel_Rarely,9,Moderate (6-15 mi),1,1 - Low,3,3 - High,2,2 - Medium,3,3 - Better,2,4,4 - Outstanding,10,5,3-5 Years,3,0,3,4,7,Yes,1
28,34,30-39,Female,Single,Research & Development,Research Director,3,4,4 - Master,Life Sciences,11994,"High ($7,001 - $12,000)",419,53,21293,11,0,No,0,Travel_Rarely,7,Moderate (6-15 mi),2,2 - Medium,1,1 - Low,3,3 - High,3,3 - Better,3,3,3 - Excellent,13,12,10+ Years,6,2,11,4,0,No,0
30,21,Under 30,Male,Single,Research & Development,Research Scientist,1,2,2 - College,Life Sciences,1232,"Low (<$3,500)",391,96,19281,14,0,No,0,Travel_Rarely,15,Moderate (6-15 mi),4,4 - Very High,3,3 - High,4,4 - Very High,3,3 - Better,3,3,3 - Excellent,0,0,< 1 Year,0,0,0,6,1,No,0
31,34,30-39,Male,Single,Research & Development,Research Scientist,1,1,1 - Below College,Medical,2960,"Low (<$3,500)",699,83,17102,11,0,No,0,Travel_Rarely,6,Moderate (6-15 mi),1,1 - Low,2,2 - Medium,3,3 - High,3,3 - Better,3,3,3 - Excellent,8,4,3-5 Years,2,1,3,2,2,Yes,1
32,53,50+,Female,Divorced,Research & Development,Manager,5,3,3 - Bachelor,Other,19094,"Executive (>$12,000)",1282,58,10735,11,1,No,0,Travel_Rarely,5,Near (1-5 mi),3,3 - High,3,3 - High,4,4 - Very High,2,2 - Good,3,3,3 - Excellent,26,14,10+ Years,13,4,8,3,4,No,0
33,32,30-39,Female,Single,Research & Development,Research Scientist,1,1,1 - Below College,Life Sciences,3919,"Mid ($3,500 - $7,000)",1125,72,4681,22,0,Yes,1,Travel_Frequently,16,Far (16-25 mi),1,1 - Low,2,2 - Medium,2,2 - Medium,3,3 - Better,1,4,4 - Outstanding,10,10,6-10 Years,2,6,7,5,1,Yes,1
35,42,40-49,Male,Married,Sales,Sales Executive,2,4,4 - Master,Marketing,6825,"Mid ($3,500 - $7,000)",691,48,21173,11,1,No,0,Travel_Rarely,8,Moderate (6-15 mi),2,2 - Medium,3,3 - High,4,4 - Very High,3,3 - Better,3,3,3 - Excellent,10,9,6-10 Years,7,4,2,2,0,No,0
36,44,40-49,Female,Married,Research & Development,Healthcare Representative,3,4,4 - Master,Medical,10248,"High ($7,001 - $12,000)",477,42,2094,14,1,No,0,Travel_Rarely,7,Moderate (6-15 mi),4,4 - Very High,1,1 - Low,4,4 - Very High,3,3 - Better,2,3,3 - Excellent,24,22,10+ Years,6,5,17,4,3,No,0
38,46,40-49,Female,Single,Sales,Manager,5,4,4 - Master,Marketing,18947,"Executive (>$12,000)",705,83,22822,12,0,No,0,Travel_Rarely,2,Near (1-5 mi),1,1 - Low,2,2 - Medium,4,4 - Very High,2,2 - Good,3,3,3 - Excellent,22,2,1-2 Years,2,2,1,2,3,No,0
39,33,30-39,Male,Single,Research & Development,Laboratory Technician,1,3,3 - Bachelor,Medical,2496,"Low (<$3,500)",924,78,6670,11,0,No,0,Travel_Rarely,2,Near (1-5 mi),4,4 - Very High,3,3 - High,4,4 - Very High,3,3 - Better,3,3,3 - Excellent,7,1,1-2 Years,1,0,0,3,4,No,0
40,44,40-49,Male,Married,Research & Development,Healthcare Representative,2,4,4 - Master,Other,6465,"Mid ($3,500 - $7,000)",1459,41,19121,13,0,Yes,1,Travel_Rarely,10,Moderate (6-15 mi),4,4 - Very High,4,4 - Very High,4,4 - Very High,4,4 - Best,3,3,3 - Excellent,9,4,3-5 Years,2,1,3,5,2,No,0
41,30,30-39,Male,Single,Research & Development,Laboratory Technician,1,2,2 - College,Medical,2206,"Low (<$3,500)",125,83,16117,13,0,No,0,Travel_Rarely,9,Moderate (6-15 mi),3,3 - High,4,4 - Very High,1,1 - Low,3,3 - Better,2,3,3 - Excellent,10,10,6-10 Years,0,1,8,5,1,No,0
42,39,30-39,Male,Married,Sales,Sales Representative,2,3,3 - Bachelor,Technical Degree,2086,"Low (<$3,500)",895,56,3335,14,1,No,0,Travel_Rarely,5,Near (1-5 mi),4,4 - Very High,4,4 - Very High,3,3 - High,4,4 - Best,3,3,3 - Excellent,19,1,1-2 Years,0,0,0,6,3,Yes,1
45,24,Under 30,Male,Married,Research & Development,Research Scientist,1,3,3 - Bachelor,Medical,2293,"Low (<$3,500)",813,61,3020,16,1,Yes,1,Travel_Rarely,1,Near (1-5 mi),4,4 - Very High,2,2 - Medium,1,1 - Low,2,2 - Good,3,3,3 - Excellent,6,2,1-2 Years,0,2,0,2,2,Yes,1
46,43,40-49,Female,Divorced,Research & Development,Research Scientist,1,2,2 - College,Medical,2645,"Low (<$3,500)",1273,72,21923,12,2,No,0,Travel_Rarely,2,Near (1-5 mi),3,3 - High,4,4 - Very High,4,4 - Very High,2,2 - Good,4,3,3 - Excellent,6,5,3-5 Years,3,1,4,3,1,No,0
47,50,50+,Male,Married,Sales,Sales Representative,1,2,2 - College,Marketing,2683,"Low (<$3,500)",869,86,3810,14,0,Yes,1,Travel_Rarely,3,Near (1-5 mi),3,3 - High,1,1 - Low,3,3 - High,3,3 - Better,2,3,3 - Excellent,3,3,3-5 Years,2,0,2,2,1,Yes,1
49,35,30-39,Female,Married,Sales,Sales Representative,1,3,3 - Bachelor,Marketing,2014,"Low (<$3,500)",890,97,9687,13,0,No,0,Travel_Rarely,2,Near (1-5 mi),4,4 - Very High,4,4 - Very High,1,1 - Low,3,3 - Better,3,3,3 - Excellent,2,2,1-2 Years,2,2,2,3,1,No,0
51,36,30-39,Female,Married,Research & Development,Research Scientist,1,4,4 - Master,Life Sciences,3419,"Low (<$3,500)",852,82,13072,14,1,Yes,1,Travel_Rarely,5,Near (1-5 mi),1,1 - Low,2,2 - Medium,4,4 - Very High,4,4 - Best,2,3,3 - Excellent,6,1,1-2 Years,1,0,0,3,9,No,0
52,33,30-39,Female,Married,Sales,Sales Executive,2,3,3 - Bachelor,Life Sciences,5376,"Mid ($3,500 - $7,000)",1141,42,3193,19,2,No,0,Travel_Frequently,1,Near (1-5 mi),1,1 - Low,3,3 - High,1,1 - Low,3,3 - Better,4,3,3 - Excellent,10,5,3-5 Years,3,1,3,3,2,No,0
53,35,30-39,Male,Divorced,Research & Development,Laboratory Technician,1,2,2 - College,Other,1951,"Low (<$3,500)",464,75,10910,12,1,No,0,Travel_Rarely,4,Near (1-5 mi),4,4 - Very High,3,3 - High,3,3 - High,3,3 - Better,3,3,3 - Excellent,1,1,1-2 Years,0,0,0,3,1,No,0
54,27,Under 30,Female,Divorced,Research & Development,Laboratory Technician,1,4,4 - Master,Life Sciences,2341,"Low (<$3,500)",1240,33,19715,13,1,No,0,Travel_Rarely,2,Near (1-5 mi),1,1 - Low,4,4 - Very High,4,4 - Very High,3,3 - Better,3,3,3 - Excellent,1,1,1-2 Years,0,0,0,6,1,No,0
55,26,Under 30,Male,Single,Research & Development,Laboratory Technician,1,3,3 - Bachelor,Life Sciences,2293,"Low (<$3,500)",1357,48,10558,12,0,No,0,Travel_Rarely,25,Far (16-25 mi),3,3 - High,1,1 - Low,3,3 - High,2,2 - Good,1,3,3 - Excellent,1,1,1-2 Years,0,0,1,2,1,Yes,1
56,27,Under 30,Male,Single,Sales,Sales Executive,3,3,3 - Bachelor,Life Sciences,8726,"High ($7,001 - $12,000)",994,37,2975,15,0,No,0,Travel_Frequently,8,Moderate (6-15 mi),3,3 - High,4,4 - Very High,4,4 - Very High,3,3 - Better,3,3,3 - Excellent,9,9,6-10 Years,8,1,7,0,1,No,0
57,30,30-39,Female,Single,Research & Development,Laboratory Technician,2,2,2 - College,Medical,4011,"Mid ($3,500 - $7,000)",721,58,10781,23,0,No,0,Travel_Frequently,1,Near (1-5 mi),4,4 - Very High,3,3 - High,4,4 - Very High,3,3 - Better,3,4,4 - Outstanding,12,12,10+ Years,8,3,7,2,1,No,0
58,41,40-49,Female,Married,Research & Development,Research Director,5,3,3 - Bachelor,Technical Degree,19545,"Executive (>$12,000)",1360,49,16280,12,0,No,0,Travel_Rarely,12,Moderate (6-15 mi),3,3 - High,2,2 - Medium,4,4 - Very High,3,3 - Better,3,3,3 - Excellent,23,22,10+ Years,15,15,8,0,1,Yes,1
60,34,30-39,Male,Single,Sales,Sales Executive,2,4,4 - Master,Marketing,4568,"Mid ($3,500 - $7,000)",1065,72,10034,20,0,No,0,Non-Travel,23,Far (16-25 mi),3,3 - High,2,2 - Medium,3,3 - High,3,3 - Better,3,4,4 - Outstanding,10,9,6-10 Years,5,8,7,2,0,No,0
61,37,30-39,Male,Married,Research & Development,Research Scientist,1,2,2 - College,Life Sciences,3022,"Low (<$3,500)",408,73,10227,21,0,No,0,Travel_Rarely,19,Far (16-25 mi),2,2 - Medium,2,2 - Medium,1,1 - Low,3,3 - Better,3,4,4 - Outstanding,8,1,1-2 Years,0,0,0,1,4,No,0
62,46,40-49,Male,Single,Sales,Sales Executive,2,4,4 - Master,Marketing,5772,"Mid ($3,500 - $7,000)",1211,98,20445,21,0,Yes,1,Travel_Frequently,5,Near (1-5 mi),4,4 - Very High,1,1 - Low,3,3 - High,3,3 - Better,3,4,4 - Outstanding,14,9,6-10 Years,6,0,8,4,4,No,0
63,35,30-39,Male,Married,Research & Development,Laboratory Technician,1,1,1 - Below College,Life Sciences,2269,"Low (<$3,500)",1229,36,4892,19,0,No,0,Travel_Rarely,8,Moderate (6-15 mi),4,4 - Very High,4,4 - Very High,4,4 - Very High,3,3 - Better,4,3,3 - Excellent,1,1,1-2 Years,0,0,1,2,1,No,0
64,48,40-49,Male,Single,Research & Development,Laboratory Technician,3,2,2 - College,Life Sciences,5381,"Mid ($3,500 - $7,000)",626,98,19294,13,0,Yes,1,Travel_Rarely,1,Near (1-5 mi),3,3 - High,1,1 - Low,4,4 - Very High,3,3 - Better,2,3,3 - Excellent,23,1,1-2 Years,0,0,0,2,9,Yes,1
65,28,Under 30,Male,Single,Research & Development,Laboratory Technician,1,4,4 - Master,Technical Degree,3441,"Low (<$3,500)",1434,50,11179,13,0,Yes,1,Travel_Rarely,5,Near (1-5 mi),3,3 - High,3,3 - High,3,3 - High,2,2 - Good,3,3,3 - Excellent,2,2,1-2 Years,2,2,2,3,1,Yes,1
68,44,40-49,Female,Divorced,Sales,Sales Executive,2,5,5 - Doctor,Marketing,5454,"Mid ($3,500 - $7,000)",1488,75,4009,21,1,Yes,1,Travel_Rarely,1,Near (1-5 mi),1,1 - Low,2,2 - Medium,3,3 - High,2,2 - Good,3,4,4 - Outstanding,9,4,3-5 Years,3,1,3,2,5,No,0
70,35,30-39,Male,Married,Research & Development,Healthcare Representative,3,2,2 - College,Medical,9884,"High ($7,001 - $12,000)",1097,79,8302,13,1,Yes,1,Non-Travel,11,Moderate (6-15 mi),1,1 - Low,3,3 - High,3,3 - High,3,3 - Better,2,3,3 - Excellent,10,4,3-5 Years,0,2,3,3,2,No,0
72,26,Under 30,Female,Married,Sales,Sales Executive,2,3,3 - Bachelor,Marketing,4157,"Mid ($3,500 - $7,000)",1443,47,21436,19,1,Yes,1,Travel_Rarely,23,Far (16-25 mi),4,4 - Very High,3,3 - High,3,3 - High,2,2 - Good,2,3,3 - Excellent,5,2,1-2 Years,2,0,0,2,7,No,0
73,33,30-39,Female,Single,Research & Development,Research Director,3,2,2 - College,Life Sciences,13458,"Executive (>$12,000)",515,98,15146,12,0,Yes,1,Travel_Frequently,1,Near (1-5 mi),4,4 - Very High,1,1 - Low,3,3 - High,3,3 - Better,3,3,3 - Excellent,15,15,10+ Years,14,8,12,1,1,No,0
74,35,30-39,Male,Married,Sales,Sales Executive,3,5,5 - Doctor,Life Sciences,9069,"High ($7,001 - $12,000)",853,71,11031,22,1,No,0,Travel_Frequently,18,Far (16-25 mi),1,1 - Low,2,2 - Medium,4,4 - Very High,2,2 - Good,3,4,4 - Outstanding,9,9,6-10 Years,8,1,8,3,1,No,0
75,35,30-39,Female,Married,Research & Development,Laboratory Technician,1,4,4 - Master,Medical,4014,"Mid ($3,500 - $7,000)",1142,30,16002,15,1,Yes,1,Travel_Rarely,23,Far (16-25 mi),1,1 - Low,3,3 - High,3,3 - High,3,3 - Better,3,3,3 - Excellent,4,2,1-2 Years,2,2,2,3,3,No,0
76,31,30-39,Male,Divorced,Research & Development,Laboratory Technician,2,4,4 - Master,Life Sciences,5915,"Mid ($3,500 - $7,000)",655,48,9528,22,1,No,0,Travel_Rarely,7,Moderate (6-15 mi),4,4 - Very High,4,4 - Very High,4,4 - Very High,2,2 - Good,3,4,4 - Outstanding,10,7,6-10 Years,7,1,7,3,3,No,0
77,37,30-39,Male,Divorced,Research & Development,Manufacturing Director,2,4,4 - Master,Life Sciences,5993,"Mid ($3,500 - $7,000)",1115,51,2689,18,1,No,0,Travel_Rarely,1,Near (1-5 mi),3,3 - High,1,1 - Low,3,3 - High,4,4 - Best,2,3,3 - Excellent,7,7,6-10 Years,5,0,7,2,1,No,0
78,32,30-39,Male,Married,Research & Development,Manufacturing Director,2,3,3 - Bachelor,Medical,6162,"Mid ($3,500 - $7,000)",427,33,10877,22,1,Yes,1,Travel_Rarely,1,Near (1-5 mi),4,4 - Very High,1,1 - Low,2,2 - Medium,3,3 - Better,3,4,4 - Outstanding,9,9,6-10 Years,8,7,8,3,1,No,0
79,38,30-39,Female,Single,Research & Development,Laboratory Technician,2,5,5 - Doctor,Life Sciences,2406,"Low (<$3,500)",653,50,5456,11,0,No,0,Travel_Frequently,29,Very Far (26+ mi),4,4 - Very High,4,4 - Very High,4,4 - Very High,3,3 - Better,3,3,3 - Excellent,10,10,6-10 Years,3,9,9,2,1,No,0
80,50,50+,Female,Divorced,Research & Development,Research Director,5,2,2 - College,Medical,18740,"Executive (>$12,000)",989,43,16701,12,1,Yes,1,Travel_Rarely,7,Moderate (6-15 mi),3,3 - High,2,2 - Medium,4,4 - Very High,2,2 - Good,2,3,3 - Excellent,29,27,10+ Years,3,13,8,2,5,No,0
81,59,50+,Female,Single,Sales,Sales Executive,3,3,3 - Bachelor,Life Sciences,7637,"High ($7,001 - $12,000)",1435,99,2354,11,0,No,0,Travel_Rarely,25,Far (16-25 mi),1,1 - Low,1,1 - Low,4,4 - Very High,2,2 - Good,3,3,3 - Excellent,28,21,10+ Years,16,7,9,3,7,No,0
83,36,30-39,Female,Divorced,Research & Development,Healthcare Representative,3,3,3 - Bachelor,Technical Degree,10096,"High ($7,001 - $12,000)",1223,59,8202,13,3,No,0,Travel_Rarely,8,Moderate (6-15 mi),3,3 - High,3,3 - High,2,2 - Medium,3,3 - Better,3,3,3 - Excellent,17,17,10+ Years,14,12,8,2,1,No,0
84,55,50+,Female,Divorced,Research & Development,Manager,4,3,3 - Bachelor,Medical,14756,"Executive (>$12,000)",836,33,19730,14,3,Yes,1,Travel_Rarely,8,Moderate (6-15 mi),3,3 - High,4,4 - Very High,3,3 - High,3,3 - Better,3,3,3 - Excellent,21,5,3-5 Years,0,0,2,2,2,No,0
85,36,30-39,Male,Single,Research & Development,Manufacturing Director,2,3,3 - Bachelor,Life Sciences,6499,"Mid ($3,500 - $7,000)",1195,95,22656,13,0,No,0,Travel_Frequently,11,Moderate (6-15 mi),2,2 - Medium,2,2 - Medium,3,3 - High,3,3 - Better,2,3,3 - Excellent,6,6,6-10 Years,5,0,3,3,1,No,0
86,45,40-49,Male,Divorced,Research & Development,Research Scientist,3,3,3 - Bachelor,Life Sciences,9724,"High ($7,001 - $12,000)",1339,59,18787,17,1,No,0,Travel_Rarely,7,Moderate (6-15 mi),1,1 - Low,2,2 - Medium,3,3 - High,3,3 - Better,3,3,3 - Excellent,25,1,1-2 Years,0,0,0,2,2,No,0
88,35,30-39,Male,Married,Research & Development,Research Scientist,1,3,3 - Bachelor,Medical,2194,"Low (<$3,500)",664,79,5868,13,1,No,0,Travel_Frequently,1,Near (1-5 mi),1,1 - Low,2,2 - Medium,4,4 - Very High,2,2 - Good,3,3,3 - Excellent,5,3,3-5 Years,2,1,2,2,4,No,0
90,36,30-39,Male,Married,Research & Development,Research Scientist,1,3,3 - Bachelor,Medical,3388,"Low (<$3,500)",318,79,21777,17,1,Yes,1,Travel_Rarely,9,Moderate (6-15 mi),3,3 - High,4,4 - Very High,1,1 - Low,2,2 - Good,2,3,3 - Excellent,2,1,1-2 Years,0,0,0,0,0,Yes,1
91,59,50+,Female,Single,Sales,Sales Executive,2,1,1 - Below College,Life Sciences,5473,"Mid ($3,500 - $7,000)",1225,57,24668,11,0,No,0,Travel_Frequently,1,Near (1-5 mi),3,3 - High,1,1 - Low,4,4 - Very High,2,2 - Good,2,3,3 - Excellent,20,4,3-5 Years,3,1,3,2,7,No,0
94,29,Under 30,Male,Married,Research & Development,Research Scientist,1,3,3 - Bachelor,Life Sciences,2703,"Low (<$3,500)",1328,76,4956,23,1,No,0,Travel_Rarely,2,Near (1-5 mi),2,2 - Medium,3,3 - High,4,4 - Very High,3,3 - Better,3,4,4 - Outstanding,6,5,3-5 Years,4,0,4,3,0,No,0
95,31,30-39,Male,Single,Research & Development,Research Scientist,1,4,4 - Master,Medical,2501,"Low (<$3,500)",1082,87,18775,17,0,No,0,Travel_Rarely,1,Near (1-5 mi),2,2 - Medium,3,3 - High,2,2 - Medium,3,3 - Better,3,3,3 - Excellent,1,1,1-2 Years,1,1,0,4,1,No,0
96,32,30-39,Male,Married,Research & Development,Research Scientist,2,3,3 - Bachelor,Life Sciences,6220,"Mid ($3,500 - $7,000)",548,66,7346,17,2,No,0,Travel_Rarely,1,Near (1-5 mi),2,2 - Medium,2,2 - Medium,2,2 - Medium,3,3 - Better,3,3,3 - Excellent,10,10,6-10 Years,4,0,9,3,1,No,0
97,36,30-39,Female,Married,Research & Development,Laboratory Technician,1,3,3 - Bachelor,Life Sciences,3038,"Low (<$3,500)",132,55,22002,12,0,No,0,Travel_Rarely,6,Moderate (6-15 mi),4,4 - Very High,2,2 - Medium,2,2 - Medium,3,3 - Better,4,3,3 - Excellent,5,1,1-2 Years,0,0,0,3,3,No,0
98,31,30-39,Female,Single,Research & Development,Manufacturing Director,2,4,4 - Master,Life Sciences,4424,"Mid ($3,500 - $7,000)",746,61,20682,23,0,No,0,Travel_Rarely,8,Moderate (6-15 mi),4,4 - Very High,3,3 - High,4,4 - Very High,3,3 - Better,3,4,4 - Outstanding,11,11,10+ Years,7,1,8,2,1,No,0
100,35,30-39,Male,Single,Sales,Sales Executive,2,4,4 - Master,Marketing,4312,"Mid ($3,500 - $7,000)",776,32,23016,14,0,No,0,Travel_Rarely,1,Near (1-5 mi),1,1 - Low,3,3 - High,2,2 - Medium,3,3 - Better,2,3,3 - Excellent,16,15,10+ Years,13,2,8,2,0,No,0
101,45,40-49,Male,Married,Research & Development,Research Director,3,4,4 - Master,Other,13245,"Executive (>$12,000)",193,52,15067,14,0,Yes,1,Travel_Rarely,6,Moderate (6-15 mi),1,1 - Low,4,4 - Very High,2,2 - Medium,4,4 - Best,3,3,3 - Excellent,17,0,< 1 Year,0,0,0,3,4,No,0
102,37,30-39,Male,Single,Research & Development,Research Director,3,4,4 - Master,Medical,13664,"Executive (>$12,000)",397,30,25258,13,0,No,0,Travel_Rarely,7,Moderate (6-15 mi),3,3 - High,1,1 - Low,1,1 - Low,4,4 - Best,3,3,3 - Excellent,16,5,3-5 Years,2,0,2,3,4,No,0
